Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Delaware,US,2021-01-13 05:30:34,39.3185,-75.5071,66446,1157,18851,46438,10,6823.62461540989,1073700,,1.74126358245794,84000010,USA,110262.85629783,
Diamond Princess,US,2021-01-13 05:30:34,,,49,0,,,88888,,,,0,84088888,USA,,
District of Columbia,US,2021-01-13 05:30:34,38.8974,-77.0268,32423,825,22464,9134,11,4594.12624034891,970048,,2.54449002251488,84000011,USA,137449.433155414,
Florida,US,2021-01-13 05:30:34,27.7663,-81.6868,1503482,23227,,,12,7000.18814831376,18629052,,1.5448804841029,84000012,USA,86736.5681961745,
Georgia,US,2021-01-13 05:30:34,33.0406,-83.6431,773692,11662,,,13,7287.0036354396,5737862,,1.50731815761311,84000013,USA,54041.9459599566,
Grand Princess,US,2021-01-13 05:30:34,,,103,3,,,99999,,,,2.9126213592233,84099999,USA,,
Guam,US,2021-01-13 05:30:34,13.4443,144.7937,7429,124,7189,116,66,4523.56161213915,99503,,1.66913447301117,316,GUM,60587.9594955824,
Hawaii,US,2021-01-13 05:30:34,21.0943,-157.4983,24261,309,11958,11994,15,1713.50235049496,878074,,1.27364906640287,84000015,USA,62016.4817158613,
Idaho,US,2021-01-13 05:30:34,44.2405,-114.4788,151273,1556,66796,82921,16,8464.88516086432,564715,,1.0286039147766,84000016,USA,31600.1376558771,
Illinois,US,2021-01-13 05:30:34,40.3495,-88.9861,1040168,19497,,,17,8208.51241506647,14263477,,1.87440874935587,84000017,USA,112560.594092988,
Indiana,US,2021-01-13 05:30:34,39.8494,-86.2583,570477,10271,370456,189750,18,8473.83307049281,6175128,,1.80042315465829,84000018,USA,91725.0018158946,
Iowa,US,2021-01-13 05:30:34,42.0115,-93.2105,299255,4222,258758,36275,19,9484.89256973696,1201471,,1.41083691166397,84000019,USA,38080.6448034433,
Kansas,US,2021-01-13 05:30:34,38.5266,-96.7265,249803,3274,4896,241633,20,8574.53058612975,1066516,,1.31063277862956,84000020,USA,36608.3436251636,
Kentucky,US,2021-01-13 05:30:34,37.6681,-84.6701,308728,2944,39200,266584,21,6910.26402335175,3343361,,0.953590215335182,84000021,USA,74834.5055692303,
Louisiana,US,2021-01-13 05:30:34,31.1695,-91.8678,352939,7971,280373,64595,22,7592.05505772035,4508788,,2.25846392719422,84000022,USA,96988.3371902476,
